,,1,Yadier Molina,St. Louis Cardinals
,,2,Luis Robert,Chicago White Sox
,,3,Ernie Banks,Chicago Cubs
,,4,Nolan Arenado,St. Louis Cardinals
,,5,Reggie Jackson,Oakland Athletics
,,6,Jacob deGrom,New York Mets
,,7,Shane Baz RC,Tampa Bay Rays
,,8,Alex Bregman,Houston Astros
,,9,Frank Thomas,Chicago White Sox
,,10,Josh Donaldson,New York Yankees
,,11,Aaron Judge,New York Yankees
,,12,Rickey Henderson,Oakland Athletics
,,13,Giancarlo Stanton,New York Yankees
,,14,Ronald Acuña Jr.,Atlanta Braves
,,15,Fernando Tatis Jr.,San Diego Padres
,,16,Bryce Harper,Philadelphia Phillies
,,17,George Brett,Kansas City Royals
,,18,Freddie Freeman,Los Angeles Dodgers
,,19,Ivan Rodriguez,Texas Rangers
,,20,Stephen Strasburg,Washington Nationals
,,21,Pedro Martinez,Boston Red Sox
,,22,Mariano Rivera,New York Yankees
,,23,Larry Walker,Colorado Rockies
,,24,Kris Bryant,Colorado Rockies
,,25,Paul Goldschmidt,St. Louis Cardinals
,,26,Lou Gehrig,New York Yankees
,,27,Walker Buehler,Los Angeles Dodgers
,,28,Whit Merrifield,Kansas City Royals
,,29,Pete Alonso,New York Mets
,,30,Joey Votto,Cincinnati Reds
,,31,Corbin Burnes,Milwaukee Brewers
,,32,Bo Bichette,Toronto Blue Jays
,,33,Thurman Munson,New York Yankees
,,34,Francisco Lindor,New York Mets
,,35,Mike Trout,Los Angeles Angels
,,36,Jarred Kelenic,Seattle Mariners
,,37,Yoan Moncada,Chicago White Sox
,,38,Johnny Bench,Cincinnati Reds
,,39,Ken Griffey Jr.,Seattle Mariners
,,40,Greg Maddux,Chicago Cubs
,,41,Mike Schmidt,Philadelphia Phillies
,,42,Babe Ruth,New York Yankees
,,43,Xander Bogaerts,Boston Red Sox
,,44,Eddie Murray,Baltimore Orioles
,,45,Hank Aaron,Atlanta Braves
,,46,Rafael Devers,Boston Red Sox
,,47,Yonny Hernandez RC,Arizona Diamondbacks
,,48,Jazz Chisholm Jr.,Miami Marlins
,,49,Mookie Betts,Los Angeles Dodgers
,,50,Todd Helton,Colorado Rockies
,,51,Justin Verlander,Houston Astros
,,52,Brandon Crawford,San Francisco Giants
,,53,Albert Pujols,St. Louis Cardinals
,,54,Roberto Clemente,Pittsburgh Pirates
,,55,Blake Snell,San Diego Padres
,,56,Anthony Rizzo,New York Yankees
,,57,Matt Olson,Atlanta Braves
,,58,Shohei Ohtani,Los Angeles Angels
,,59,Al Kaline,Detroit Tigers
,,60,Harmon Killebrew,Minnesota Twins
,,61,Adrian Beltre,Texas Rangers
,,62,Ke'Bryan Hayes,Pittsburgh Pirates
,,63,Willie Stargell,Pittsburgh Pirates
,,64,Willie Mays,San Francisco Giants
