,1 Yadier Molina,
,2 Luis Robert,
,3 Ernie Banks,
,4 Nolan Arenado,
,5 Reggie Jackson,
,6 Jacob deGrom,
,7 Shane Baz RC,
,8 Alex Bregman,
,9 Frank Thomas,
,10 Josh Donaldson,
,11 Aaron Judge,
,12 Rickey Henderson,
,13 Giancarlo Stanton,
,"14 Ronald Acuña, Jr.",
,"15 Fernando Tatis, Jr.",
,16 Bryce Harper,
,17 George Brett,
,18 Freddie Freeman,
,19 Ivan Rodriguez,
,20 Stephen Strasburg,
,21 Pedro Martinez,
,22 Mariano Rivera,
,23 Larry Walker,
,24 Kris Bryant,
,25 Paul Goldschmidt,
,26 Lou Gehrig,
,27 Walker Buehler,
,28 Whit Merrifield,
,29 Pete Alonso,
,30 Joey Votto,
,31 Corbin Burnes,
,32 Bo Bichette,
,33 Thurman Munson,
,34 Francisco Lindor,
,35 Mike Trout,
,36 Jarred Kelenic,
,37 Yoan Moncada,
,38 Johnny Bench,
,"39 Ken Griffey, Jr.",
,40 Greg Maddux,
,41 Mike Schmidt,
,42 Babe Ruth,
,43 Xander Bogaerts,
,44 Eddie Murray,
,45 Hank Aaron,
,46 Rafael Devers,
,47 Yonny Hernandez RC,
,"48 Jazz Chisholm, Jr.",
,49 Mookie Betts,
,50 Todd Helton,
,51 Justin Verlander,
,52 Brandon Crawford,
,53 Albert Pujols,
,54 Roberto Clemente,
,55 Blake Snell,
,56 Anthony Rizzo,
,57 Matt Olson,
,58 Shohei Ohtani,
,59 Al Kaline,
,60 Harmon Killebrew,
,61 Adrian Beltre,
,62 Ke'Bryan Hayes,
,63 Willie Stargell,
,64 Willie Mays,
,65 Rhys Hoskins,
,66 Ichiro,
,67 Byron Buxton,
,"68 Cal Ripken, Jr.",
,69 Cedric Mullins,
,70 Ryne Sandberg,
,71 Bryan De La Cruz RC,
,72 Mitch Haniger,
,73 Shane Bieber,
,74 Christian Yelich,
,75 Eloy Jimenez,
,76 Randy Arozarena,
,77 Buster Posey,
,78 Randy Johnson,
,79 Gerrit Cole,
,80 Hank Greenberg,
,81 Nick Castellanos,
,82 David Ortiz,
,83 Manny Machado,
,84 Willson Contreras,
,85 Clayton Kershaw,
,86 Juan Soto,
,87 Jose Ramirez,
,88 Anthony Rendon,
,89 Robin Yount,
,90 Javier Baez,
,91 Wander Franco (RC),
,92 Ketel Marte,
,93 Nolan Ryan,
